[inf] 2018-04-18 19:32:50 | App connected with redis server
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[inf] 2018-04-18 19:32:53 | Finished sync
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[inf] 2018-04-18 19:32:53 | Starting sync
[dbg] 2018-04-18 19:32:53 | Undoing unconfirmed transactions before sync
[dbg] 2018-04-18 19:32:53 | Establishing broadhash consensus before sync
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[inf] 2018-04-18 19:32:53 | Finished sync
[ERR] 2018-04-18 19:32:53 | Sync timer - Failed to find enough good peers
